Title,Price,Beds,Baths,Garage,Size_sqm,Location,Details_URL
3 Bedroom House,1725000.0,3.0,2.0,3.0,534.0,3 Glen Street,
4 Bedroom House,1399000.0,4.0,3.0,2.0,898.0,,
2 Bedroom Townhouse,1395000.0,2.0,1.0,2.0,522.0,,
4 Bedroom House,13000000.0,4.0,5.0,4.0,6.0,,
4 Bedroom House,3300000.0,4.0,4.0,5.0,1109.0,,
3 Bedroom House,750000.0,3.0,1.0,,345.0,,
2 Bedroom Apartment,845000.0,2.0,1.0,1.0,,15 Edge Rd,
3 Bedroom House,2350000.0,3.0,2.0,1.0,,,
3 Bedroom House,4080000.0,3.0,3.0,2.0,771.0,,
7 Bedroom House,600000.0,7.0,2.0,5.0,500.0,1234 Ginsberg King William Town,
2 Bedroom Apartment,620000.0,2.0,1.0,1.0,,,
3 Bedroom House,1100000.0,3.0,1.0,1.0,499.0,,
3 Bedroom House,1650000.0,3.0,2.0,1.0,1063.0,,
4 Bedroom House,1999999.0,4.0,2.0,8.0,1349.0,7 Tongaat Road,
3 Bedroom House,1595000.0,3.0,2.0,2.0,685.0,20 Baillie Road,
2 Bedroom House,1685000.0,2.0,2.0,1.0,500.0,,
4 Bedroom House,550000.0,4.0,1.0,2.0,972.0,,
4 Bedroom House,2595000.0,4.0,3.0,3.0,2012.0,,
3 Bedroom House,3500000.0,3.0,3.0,8.0,1267.0,,
2 Bedroom House,1250000.0,2.0,1.0,4.0,243.0,,
3 Bedroom Apartment,1395000.0,3.0,2.0,1.0,,"23 Ss Summerplace, 37 Beach Road",
3 Bedroom House,2835000.0,3.0,2.0,5.0,1784.0,,
2 Bedroom Apartment,1650000.0,2.0,1.0,2.0,,,
2 Bedroom House,2100000.0,2.0,1.0,3.0,375.0,,
3 Bedroom House,650000.0,3.0,1.0,2.0,325.0,,
2 Bedroom Apartment,1650000.0,2.0,1.0,2.0,,,
3 Bedroom House,985000.0,3.0,1.0,1.0,673.0,,
3 Bedroom House,4750000.0,3.0,35.0,2.0,1190.0,89 Lyme Road North,
2 Bedroom Townhouse,830000.0,2.0,1.0,2.0,301.0,33 Nico Malan Drive,
3 Bedroom Apartment,2350000.0,3.0,2.0,2.0,,,
5 Bedroom House,4950000.0,5.0,4.0,4.0,,,
3 Bedroom House,1460000.0,3.0,2.0,2.0,300.0,13 Ironwood Avenue,
2 Bedroom Townhouse,1450000.0,2.0,1.0,1.0,74.0,,
2 Bedroom House,430000.0,2.0,1.0,,,,
2 Bedroom Apartment,650000.0,2.0,2.0,,,,
1 Bedroom Apartment,980000.0,1.0,1.0,1.0,,101 Kingshurst,
4 Bedroom House,1390000.0,4.0,3.0,2.0,744.0,,
2 Bedroom Apartment,830000.0,2.0,1.0,1.0,,,
3 Bedroom House,1650000.0,3.0,2.0,1.0,1009.0,27 3rd Street,
3 Bedroom Apartment,1799000.0,3.0,2.0,2.0,,5 Forbes Avenue,
2 Bedroom House,1000000.0,2.0,1.0,3.0,309.0,,
4 Bedroom House,1999000.0,4.0,2.0,4.0,1565.0,,
3 Bedroom House,1200000.0,3.0,2.0,,780.0,,
8 Bedroom Apartment,750000.0,8.0,2.0,,302.0,2745 Qaqamba Street,
3 Bedroom House,950000.0,3.0,2.0,2.0,253.0,,
4 Bedroom House,1550000.0,4.0,2.0,4.0,340.0,,
2 Bedroom House,850000.0,2.0,2.0,,160.0,15 Downs Road Amalinda Downs,
2 Bedroom Apartment,850000.0,2.0,1.0,1.0,,50 Park Drive,
3 Bedroom House,1695000.0,3.0,2.0,3.0,378.0,Avalon Gardens,
4 Bedroom House,5989000.0,4.0,5.0,8.0,2478.0,,
4 Bedroom House,2995000.0,4.0,35.0,4.0,624.0,,
4 Bedroom House,1350000.0,4.0,2.0,,2232.0,2 Taunton Road,
4 Bedroom House,2395000.0,4.0,3.0,2.0,382.0,1237 Port Au Prince,
